image_id,error_space,error_type,error_rate,seed,bpp,psnr,ssim,ms_ssim,lpips,decode_failed
flower,bitstream,burst,0.1,234,0.1256103515625,22.628196716308594,0.7313445806503296,0.8949429988861084,0.12173748016357422,False
flower,bitstream,burst,0.1,235,0.1256103515625,12.284320831298828,0.29681694507598877,0.3309936821460724,0.5651987791061401,False
flower,bitstream,burst,0.5,231,0.1256103515625,7.9014081954956055,0.17898523807525635,0.12704217433929443,0.8043177127838135,False
flower,bitstream,burst,0.5,232,0.1256103515625,8.56883716583252,0.31227871775627136,0.10872603207826614,0.8509995937347412,False
flower,bitstream,burst,0.5,233,0.1256103515625,11.531161308288574,0.2297496199607849,0.28023654222488403,0.6962606310844421,False
flower,bitstream,burst,0.5,234,0.1256103515625,8.058914184570312,0.20480188727378845,0.06940308213233948,0.8217493295669556,False
flower,bitstream,burst,0.5,235,0.1256103515625,9.260435104370117,0.34555545449256897,0.11267627030611038,0.8624094128608704,False
flower,bitstream,burst,1.0,231,0.1256103515625,11.426586151123047,0.21486160159111023,0.2827267348766327,0.6239145994186401,False
flower,bitstream,burst,1.0,232,0.1256103515625,9.576472282409668,0.36195582151412964,0.21476539969444275,0.861105740070343,False
flower,bitstream,burst,1.0,233,0.1256103515625,8.216344833374023,0.1726927012205124,0.12212646007537842,0.8477014303207397,False
flower,bitstream,burst,1.0,234,0.1256103515625,10.78214168548584,0.21232853829860687,0.2890029847621918,0.7485599517822266,False
flower,bitstream,burst,1.0,235,0.1256103515625,8.125694274902344,0.22971194982528687,0.14424248039722443,0.7831017374992371,False
flower,bitstream,burst,2.0,231,0.1256103515625,10.326202392578125,0.4024255573749542,0.1386297643184662,0.906693160533905,False
flower,bitstream,burst,2.0,232,0.1256103515625,10.057334899902344,0.3967384397983551,0.12182171642780304,0.9272876381874084,False
flower,bitstream,burst,2.0,233,0.1256103515625,8.297847747802734,0.1940888613462448,0.15259277820587158,0.8031168580055237,False
flower,bitstream,burst,2.0,234,0.1256103515625,9.343025207519531,0.11858423054218292,0.16062907874584198,0.8095376491546631,False
flower,bitstream,burst,2.0,235,0.1256103515625,9.128201484680176,0.21877285838127136,0.16259539127349854,0.8520047068595886,False
flower,bitstream,burst,5.0,231,0.1256103515625,0.0,0.0,0.0,1.0,True
flower,bitstream,burst,5.0,232,0.1256103515625,10.899943351745605,0.18471018970012665,0.25318479537963867,0.7047918438911438,False
flower,bitstream,burst,5.0,233,0.1256103515625,0.0,0.0,0.0,1.0,True
flower,bitstream,burst,5.0,234,0.1256103515625,7.373020648956299,0.15420731902122498,0.09610292315483093,0.7900605201721191,False
flower,bitstream,burst,5.0,235,0.1256103515625,0.0,0.0,0.0,1.0,True
house,bitstream,burst,0.0,231,0.1231689453125,20.358688354492188,0.5087703466415405,0.8701068758964539,0.09642785787582397,False
house,bitstream,burst,0.0,232,0.1231689453125,20.331995010375977,0.5080825686454773,0.8695514798164368,0.09688545018434525,False
house,bitstream,burst,0.0,233,0.1231689453125,20.37883949279785,0.5079290270805359,0.8696833848953247,0.09861929714679718,False
house,bitstream,burst,0.0,234,0.1231689453125,20.35869789123535,0.507512629032135,0.8705504536628723,0.09619003534317017,False
house,bitstream,burst,0.0,235,0.1231689453125,20.354778289794922,0.5079687833786011,0.8704019784927368,0.09639687836170197,False
house,bitstream,burst,0.1,231,0.1231689453125,18.2504825592041,0.4076590836048126,0.7829467058181763,0.16851677000522614,False
house,bitstream,burst,0.1,232,0.1231689453125,9.517829895019531,0.15822868049144745,0.09336604177951813,0.9949870109558105,False
house,bitstream,burst,0.1,233,0.1231689453125,7.096234321594238,0.12587688863277435,0.09275665134191513,0.9260377883911133,False
house,bitstream,burst,0.1,234,0.1231689453125,18.337352752685547,0.4139370918273926,0.7901504039764404,0.15407228469848633,False
house,bitstream,burst,0.1,235,0.1231689453125,10.534701347351074,0.15419112145900726,0.11462386697530746,1.0190057754516602,False
house,bitstream,burst,0.5,231,0.1231689453125,7.214648246765137,0.14163300395011902,0.12512430548667908,0.9990078806877136,False
house,bitstream,burst,0.5,232,0.1231689453125,9.872536659240723,0.12461897730827332,0.16340011358261108,0.7345125675201416,False
house,bitstream,burst,0.5,233,0.1231689453125,9.140975952148438,0.1449601650238037,0.09167918562889099,0.9906436800956726,False
house,bitstream,burst,0.5,234,0.1231689453125,16.055347442626953,0.3005310893058777,0.64919513463974,0.29974937438964844,False
house,bitstream,burst,0.5,235,0.1231689453125,9.481976509094238,0.15552647411823273,0.15332913398742676,0.947616457939148,False
house,bitstream,burst,1.0,231,0.1231689453125,10.290594100952148,0.15399231016635895,0.14300310611724854,1.0229992866516113,False
house,bitstream,burst,1.0,232,0.1231689453125,8.413681030273438,0.14051757752895355,0.08269528299570084,0.9792019128799438,False
